један,"a, an",а
продавница,shop,магазин
шопинг,shopping,Покупка
кратак,short,короткий
пуцањ,shot,выстрелил
требало би,should,должен
раме,shoulder,плечо
узвик,shout,кричать
Прикажи,show,показывать
туш,shower,душ
затворена,shut,закрыть
стидљив,shy,застенчивый
болестан,sick,больной
страна,side,сторона
призор,sight,взгляд
знак,sign,знак
знак,signal,сигнал
значајан,significant,значительный
значајно,significantly,существенно
тишина,silence,тишина
нем,silent,тихий
свила,silk,шелк
глуп,silly,глупый
сребро,silver,серебро
сличан,similar,похожий
сличност,similarity,сходство
слично,similarly,сходным образом
једноставан,simple,простой
просто,simply,просто
Од,since,с
искрен,sincere,искренний
Синг,sing,петь
певач,singer,певец
певање,singing,пение
једно,single,одинокий
лавабо,sink,раковина
господине,sir,сэр
сестра,sister,сестра
СИТ,sit,сидеть
сајт,site,сайт
ситуација,situation,ситуация
шест,six,шесть
шеснаест,sixteen,шестнадцать
шездесет,sixty,шестьдесят
величина,size,размер
скија,ski,лыж
скијање,skiing,горнолыжный спорт
вештина,skill,навык
кожа,skin,кожа
сукња,skirt,юбка
небо,sky,небо
Роб,slave,раб
сан,sleep,спать
кришка,slice,кусочек
Тобоган,slide,горка
мала,slight,легкий
мало,slightly,немного
клизање,slip,соскальзывать
нагиб,slope,склон
спор,slow,медленный
полако,slowly,медленно
мали,small,маленький
оштроуман,smart,умный
смартфон,smartphone,смартфон
мирис,smell,запах
осмех,smile,улыбка
дим,smoke,дымка
пушење,smoking,курить
смоотх,smooth,гладкий
змија,snake,змея
снег,snow,снег
тако,so,так
сапун,soap,мыло
фудбал,soccer,футбольный
друштвени,social,Социальное
друштво,society,общество
чарапа,sock,носок
мек,soft,мягкий
софтвер,software,программное обеспечение
тло,soil,земля
соларни,solar,солнечный
војник,soldier,солдат
чврст,solid,твердый
решење,solution,решение
решити,solve,решать
неки,some,некоторый
неко,somebody,кто-нибудь
неко,someone,кто-то
нешто,something,что-нибудь
понекад,sometimes,иногда
нешто,somewhat,в некотором роде
негде,somewhere,где-то
син,son,сын
песма,song,песня
ускоро,soon,скоро
извињавам се,sorry,извини
врста,sort,Сортировать
душа,soul,душа
звук,sound,звук
супа,soup,суп
извор,source,источник
југ,south,юг
јужни,southern,южный
простор,space,космос
говорити,speak,говорить
звучник,speaker,оратор
посебан,special,особенный
специјалиста,specialist,специалист
врста,species,разновидность
специфичан,specific,специфический
посебно,specifically,конкретно
говор,speech,речь
брзина,speed,скорость
чаролија,spell,заклинание
правопис,spelling,написание
провести,spend,тратить
трошење,spending,расходы
пикантан,spicy,острый
паук,spider,паук
дух,spirit,дух
духовни,spiritual,духовный
разделити,split,расколоть
спокен,spoken,разговорный
спонзор,sponsor,спонсор
кашика,spoon,ложка
спорт,sport,спорт
место,spot,место
ширење,spread,распространение
пролеће,spring,весна
квадрат,square,квадрат
стабилан,stable,стабильный
стадион,stadium,стадион
особље,staff,персонал
фаза,stage,этап
степеник,stair,лестница
печат,stamp,печать
стајати,stand,стоять
стандардни,standard,стандартный
Звезда,star,звезда
буљити,stare,глазеть
почетак,start,начинать
стање,state,состояние
изјава,statement,заявление
станица,station,станция
статистички,statistic,статистика
статуа,statue,статуя
статус,status,положение дел
боравак,stay,оставаться
стабилан,steady,устойчивый
украсти,steal,воровать
челик,steel,сталь
стрм,steep,отвесный
Корак,step,шаг
штап (Пусх у / аттацх),stick (push into/attach),придерживаться (нажмите/прикрепите)
штап (комад дрвета),stick (piece of wood),палка (кусок дерева)
лепљив,sticky,липкий
крут,stiff,жесткий
још увек,still,все еще
акција,stock,запас
стомак,stomach,желудок
камен,stone,камень
зауставити,stop,останавливаться
продавница,store,магазин
олуја,storm,буря
прича,story,история
право,straight,прямой
чудан,strange,странный
странац,stranger,незнакомец
стратегија,strategy,стратегия
поток,stream,транслировать
улица,street,улица
снага,strength,сила
стрес,stress,стресс
растезање,stretch,потягиваться
строг,strict,строгий
ударац,strike,ударять
низ,string,нить
јак,strong,сильный
снажно,strongly,сильно
структура,structure,состав
борба,struggle,борьба
ученик,student,студент
атеље,studio,студия
студија,study,изучать
ствари,stuff,вещи
глуп,stupid,глупый
стил,style,стиль
предмет,subject,предмет
прихвати,submit,представлять на рассмотрение
супстанца,substance,вещество
успети,succeed,преуспевать
успех,success,успех
успешан,successful,успешный
успешно,successfully,успешно
тако,such,такой
изненадан,sudden,внезапный
изненада,suddenly,внезапно
патити,suffer,страдать
шећер,sugar,сахар
сугерисати,suggest,предлагать
предлог,suggestion,предположение
одело,suit,подходить
погодан,suitable,подходящий
збир,sum,сумма
резимирати,summarize,подведем итог
резиме,summary,краткое содержание
лето,summer,лето
сунце,sun,солнце
недеља,Sunday,Воскресенье
супер маркет,supermarket,супермаркет
снабдевање,supply,поставлять
подршка,support,поддерживать
присталица,supporter,сторонник
претпоставити,suppose,предполагать
сигуран,sure,конечно
сигурно,surely,конечно
површина,surface,поверхность
хирургија,surgery,операция
изненађење,surprise,Сюрприз
изненадио,surprised,удивлен
изненађује,surprising,удивительный
окрузити,surround,окружение
који окружује,surrounding,окружение
преглед,survey,опрос
преживети,survive,выживать
сумњив,suspect,подозревать
заклети се,swear,ругаться
џемпер,sweater,свитер
замах,sweep,мести
сладак,sweet,сладкий
пливати,swim,плавать
пливање,swimming,плавание
прекидач,switch,выключатель
симбол,symbol,символ
симпатија,sympathy,сочувствие
симптом,symptom,симптом
систем,system,система
сто,table,стол
таблета,tablet,планшет
Реп,tail,хвост
узети,take,брать
прича,tale,сказка
таленат,talent,талант
талентован,talented,талантливый
разговор,talk,разговаривать
висок,tall,высокий
резервоар,tank,бак
трака,tape,лента
мета,target,цель
задатак,task,задача
укус,taste,вкус
порез,tax,налоговый
такси,taxi,такси
чај,tea,чай
Предајем,teach,учат
учитељ,teacher,учитель
Учити,teaching,преподавание
тим,team,команда
теар1,tear1,слеза 1
теар2,tear2,слеза2
технички,technical,технический
техника,technique,техника
технологија,technology,технологии
тинејџерски,teenage,подростка
тинејџер,teenager,подростка
телефон,telephone,телефон
телевизија,television,телевидение
рећи,tell,рассказывать
температура,temperature,температура
привремен,temporary,временный
десет,ten,десять
склони,tend,иметь тенденцию
Тенис,tennis,большой теннис
шатор,tent,палатка
термин,term,срок
страшан,terrible,ужасный
тест,test,тест
текст,text,текст
него,than,чем
захвалити,thank,благодарить
Хвала,thanks,Спасибо
то,that,что
,the,а
театар,theatre,театр
њихов,their,их
њихов,theirs,их
њих,them,их
тема,theme,тема
себе,themselves,сами себя
онда,then,затем
теорија,theory,теория
терапија,therapy,терапия
тамо,there,там
стога,therefore,поэтому
они,they,они
дебео,thick,толстый
лопов,thief,вор
танак,thin,тонкий
ствар,thing,вещь
мислити,think,думать
размишљање,thinking,мышление
трећи,third,третий
жедан,thirsty,испытывающий жажду
тринаест,thirteen,тринадцать
тридесет,thirty,тридцать
ово,this,этот
иако,though,хотя
мисао,thought,мысль
хиљада,thousand,тысяча
претња,threat,угроза
претити,threaten,угрожать
три,three,три
грло,throat,горло
кроз,through,через
током,throughout,через
бацити,throw,бросать
четвртак,Thursday,Четверг
тако,thus,таким образом
Улазница,ticket,билет
уредан,tidy,аккуратный
кравата,tie,галстук
тесан,tight,тугой
до,till,до
време,time,время
калај,tin,банка
сићушан,tiny,крошечный
Савет,tip,кончик
уморан,tired,усталый
наслов,title,заголовок
до,to,к
данас,today,сегодня
ножни прст,toe,палец на ноге
заједно,together,вместе
тоалет,toilet,туалет
парадајз,tomato,помидор
сутра,tomorrow,завтра
тон,tone,тон
језик,tongue,язык
вечерас,tonight,сегодня вечером
такође,too,слишком
оруђе,tool,инструмент
зуб,tooth,зуб
врх,top,вершина
тема,topic,тема
укупан,total,общий
тотално,totally,Полностью
додир,touch,трогать
жилав,tough,жесткий
турнеја,tour,тур
туризам,tourism,туризм
туристички,tourist,турист
за,towards,к
пешкир,towel,полотенце
кула,tower,башня
Град,town,город
играчка,toy,игрушка
трацк,track,отслеживать
трговина,trade,торговля
традиција,tradition,традиция
традиционалан,traditional,традиционный
саобраћај,traffic,трафик
воз,train,тренироваться
тренер,trainer,тренер
обука,training,обучение
пренос,transfer,передача
трансформисати,transform,преобразование
прелаз,transition,переход
превести,translate,переводить
превод,translation,перевод
превоз,transport,транспорт
путовање,travel,путешествовать
путник,traveller,путешественник
лечити,treat,обращаться
лечење,treatment,уход
дрво,tree,дерево
кретање,trend,тренд
суђење,trial,пробный
трик,trick,обманывать
путовање,trip,путешествие
тропски,tropical,тропический
проблем,trouble,беда
панталоне,trousers,брюки
камион,truck,грузовик
ИСТИНИТО,TRUE,истинный
заиста,truly,действительно
поверење,trust,доверять
истина,truth,правда
покушати,try,пытаться
Мајица,T-shirt,Футболка
цев,tube,трубка
уторак,Tuesday,Вторник
мелодија,tune,мелодия
тунел,tunnel,туннель
ред,turn,повернуть
ТВ,TV,ТВ
дванаест,twelve,двенадцать
двадесет,twenty,двадцать
два пута,twice,дважды
близанац,twin,близнец
два,two,два
тип,type,тип
типичан,typical,типичный
типично,typically,обычно
гума,tyre,шина
ружан,ugly,уродливый
коначно,ultimately,в конечном счете
кишобран,umbrella,зонтик
неспособан,unable,не могущий
стриц,uncle,дядя
неудобан,uncomfortable,неудобный
несвестан,unconscious,бессознательный
под,under,под
под земљом,underground,метро
разумети,understand,понимать
разумевање,understanding,понимание
Доњи веш,underwear,нижнее белье
незапослен,unemployed,безработные
незапосленост,unemployment,безработица
неочекиван,unexpected,непредвиденный
неправедан,unfair,несправедливый
нажалост,unfortunately,к сожалению
несрећан,unhappy,несчастный
униформа,uniform,униформа
унија,union,союз
јединствен,unique,уникальный
јединица,unit,единица
јединствен,united,объединенная
свемир,universe,вселенная
универзитет,university,Университет
непознат,unknown,неизвестный
ако не,unless,пока не
за разлику од,unlike,В отличие от
невероватно,unlikely,вряд ли
непотребан,unnecessary,ненужный
непријатан,unpleasant,неприятный
све док,until,до
неуобичајен,unusual,необычный
горе,up,вверх
ажурирање,update,обновлять
на,upon,на
горњи,upper,верхний
узнемирен,upset,расстройство
горе,upstairs,вверх по лестнице
нагоре,upwards,вверх
урбани,urban,городской
нагон,urge,побуждать
нас,us,нас
употреба,use,использовать
користи,used,использовал
користи за,used to,привыкший
користан,useful,полезный
корисник,user,пользователь
уобичајен,usual,обычный
обично,usually,обычно
одмор,vacation,отпуск
долина,valley,долина
вредан,valuable,ценный
вредност,value,ценить
комби,van,фургон
разноврсност,variety,разнообразие
разноврстан,various,различный
варирати,vary,отличаться
огроман,vast,огромный
поврће,vegetable,овощ
возило,vehicle,транспортное средство
место,venue,место проведения
верзија,version,версия
врло,very,очень
преко,via,с помощью
жртва,victim,жертва
победа,victory,Победа
видео,video,видео
поглед,view,вид
посматрач,viewer,зритель
село,village,деревня
насиље,violence,насилие
насилан,violent,жестокий
виртуелни,virtual,виртуальный
вирус,virus,вирус
визија,vision,зрение
посета,visit,посещать
посетилац,visitor,посетитель
визуелан,visual,визуальный
виталан,vital,жизненно важный
витамин,vitamin,витамин
глас,voice,голос
обим,volume,объем
волонтер,volunteer,волонтер
глас,vote,голосование
плата,wage,заработная плата
чекати,wait,ждать
конобар,waiter,официант
буђење,wake,будить
ходати,walk,ходить
зид,wall,стена
желети,want,хотеть
рат,war,война
топао,warm,теплый
упозорити,warn,предупреждать
упозорење,warning,предупреждение
прање,wash,стирать
прање,washing,мойка
губљење,waste,напрасно тратить
гледати,watch,смотреть
вода,water,вода
талас,wave,волна
начин,way,способ
ми,we,мы
слаб,weak,слабый
слабост,weakness,слабость
богатство,wealth,богатство
богат,wealthy,богатый
оружје,weapon,оружие
носити,wear,носить
време,weather,погода
Веб,web,веб -
веб сајт,website,Веб-сайт
венчање,wedding,свадьба
Среда,Wednesday,Среда
Недеља,week,неделя
викенд,weekend,выходные
одмерити,weigh,взвешивать
тежина,weight,масса
Добродошли,welcome,добро пожаловать
добро,well,хорошо
западно,west,западный
западни,western,западный
мокар,wet,влажный
Шта,what,что
шта год,whatever,что бы ни
точак,wheel,колесо
када,when,когда
било када,whenever,в любое время
где,where,где
а,whereas,тогда как
где год,wherever,где бы
да ли је,whether,ли
која,which,который
док,while,пока
шапат,whisper,шепот
бео,white,белый
ко,who,ВОЗ
цео,whole,весь
којег,whom,кому
чији,whose,чей
зашто,why,почему
широк,wide,широкий
широко,widely,широко
жена,wife,жена
дивљи,wild,дикий
дивље животиње,wildlife,дикая природа
воља,will,воля
вољан,willing,готовый
победити,win,победить
винд1,wind1,ветер1
винд2,wind2,ветер2
прозор,window,окно
вино,wine,вино
крило,wing,крыло
победник,winner,Победитель
зима,winter,зима
жица,wire,проволока
мудар,wise,мудрый
желети,wish,желание
са,with,с
у склопу,within,в пределах
без,without,без
сведок,witness,свидетель
жена,woman,женщина
чудо,wonder,удивляться
предивна,wonderful,замечательный
дрва,wood,древесина
дрвен,wooden,деревянный
вуна,wool,шерсть
реч,word,слово
рад,work,работа
радник,worker,работник
рад,working,работающий
свет,world,мир
светски,worldwide,Мировой
забринути,worried,волновался
забринути,worry,волноваться
горе,worse,худший
најгори,worst,худший
вредност,worth,ценность
Воулд,would,бы
рана,wound,ранить
вау,wow,ух ты
Врап,wrap,сворачивать
Пишите,write,писать
писац,writer,писатель
писање,writing,письмо
написан,written,написано
погрешно,wrong,неправильный
двориште,yard,площадка
да,yeah,ага
година,year,год
жут,yellow,желтый
да,yes,да
јуче,yesterday,вчера
још,yet,еще
ти,you,ты
млади,young,молодой
твој,your,твой
твој,yours,Ваш
сами,yourself,сам
омладина,youth,молодость
нула,zero,нуль
зона,zone,зона
